"","seqnames","start","end","width","strand","baseMean","baseVar","baseMean.1","log2FoldChange","lfcSE","stat","pvalue","padj","new_seqnames"
"90","CM002899.1",201627,202126,500,"*",42.0910177355012,1972.55578171179,42.0910177355012,2.62941181474098,0.490260151136424,5.36329907426903,8.17155396747891e-08,0.000448977861189161,"CM002899.1:201627-202126"
"79","CM002896.1",48551037,48551536,500,"*",50.3641103967258,2578.73822737284,50.3641103967258,2.54856085756473,0.698410802227114,3.64908568057339,0.000263175324125618,0.0483824083797927,"CM002896.1:48551037-48551536"
"68","CM002894.1",5211717,5212216,500,"*",71.1357400141225,5030.01410925006,71.1357400141225,2.36659352606119,0.43071481015307,5.49457197726759,3.91659163595831e-08,0.000282292575371923,"CM002894.1:5211717-5212216"
"126","CM002904.1",38079431,38079930,500,"*",43.6556354330119,739.998674181688,43.6556354330119,2.3571467588295,0.478248141233869,4.92871075828567,8.27740106357973e-07,0.00166027008752488,"CM002904.1:38079431-38079930"
"141","CM002907.1",16765279,16766037,759,"*",144.348482805287,20579.8236630603,144.348482805287,2.23906142691991,0.50084650289248,4.47055417975153,7.80171761974128e-06,0.00765459951605473,"CM002907.1:16765279-16766037"
"29","CM002888.1",68244163,68245059,897,"*",43.047808795838,1671.49306375252,43.047808795838,2.16372294382118,0.490312308737687,4.41294845196056,1.01972282307816e-05,0.0090393318629979,"CM002888.1:68244163-68245059"
"43","CM002890.1",526191,526690,500,"*",47.8800081946,1616.19496971007,47.8800081946,2.04011501560074,0.371873362340619,5.4860477307651,4.11025881438443e-08,0.000282292575371923,"CM002890.1:526191-526690"
"127","CM002904.1",39316562,39317061,500,"*",99.1166705935833,4303.83001908562,99.1166705935833,2.03341634828619,0.394722951128499,5.15150269948257,2.58407504781424e-07,0.00101413871019361,"CM002904.1:39316562-39317061"
"45","CM002890.1",25271538,25272037,500,"*",32.0054240881213,319.656935554851,32.0054240881213,2.025793629403,0.532983684518745,3.80085486337575,0.000144197748303405,0.0370224349662723,"CM002890.1:25271538-25272037"
"131","CM002905.1",11235062,11235561,500,"*",39.4129289827005,1535.90478320481,39.4129289827005,2.02242174014892,0.472019491886601,4.28461488330824,1.83056000048485e-05,0.0128946523931589,"CM002905.1:11235062-11235561"
